unicode,punycode,current_provider,current_nameservers
ḥkꜣ.com,xn--k-xnm1886d.com,GoDaddy,ns1.vercel-dns.com ns13.domaincontrol.com ☓ ns2.vercel-dns.com ns14.domaincontrol.com ☓
kꜣ.com,xn--k-yw3e.com,GoDaddy,ns1.vercel-dns.com ns09.domaincontrol.com ☓ ns2.vercel-dns.com ns10.domaincontrol.com ☓
kōbe.com,xn--kbe-qxa.com,GoDaddy,ns1.vercel-dns.com ns01.domaincontrol.com ☓ ns2.vercel-dns.com ns02.domaincontrol.com ☓
kālī.com,xn--kl-dla3o.com,GoDaddy,ns1.vercel-dns.com ns29.domaincontrol.com ☓ ns2.vercel-dns.com ns30.domaincontrol.com ☓
kēr.com,xn--kr-wma.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
krónos.com,xn--krnos-1ta.com,GoDaddy,ns1.vercel-dns.com ns09.domaincontrol.com ☓ ns2.vercel-dns.com ns10.domaincontrol.com ☓
kyōto.com,xn--kyto-m3a.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
ēl.com,xn--l-oia.com,GoDaddy,ns1.vercel-dns.com ns09.domaincontrol.com ☓ ns2.vercel-dns.com ns10.domaincontrol.com ☓
álfheimr.com,xn--lfheimr-gwa.com,GoDaddy,ns1.vercel-dns.com ns01.domaincontrol.com ☓ ns2.vercel-dns.com ns02.domaincontrol.com ☓
libyē.com,xn--liby-eva.com,GoDaddy,ns1.vercel-dns.com ns15.domaincontrol.com ☓ ns2.vercel-dns.com ns16.domaincontrol.com ☓
ólympos.com,xn--lympos-9wa.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
mꜥ.com,xn--m-2w3e.com,GoDaddy,ns1.vercel-dns.com ns75.domaincontrol.com ☓ ns2.vercel-dns.com ns76.domaincontrol.com ☓
mꜣ.com,xn--m-yw3e.com,GoDaddy,ns1.vercel-dns.com ns25.domaincontrol.com ☓ ns2.vercel-dns.com ns26.domaincontrol.com ☓
médousa.com,xn--mdousa-bva.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
miðgarðr.com,xn--migarr-qwad.com,GoDaddy,ns1.vercel-dns.com ns43.domaincontrol.com ☓ ns2.vercel-dns.com ns44.domaincontrol.com ☓
nikē.com,xn--nik-5qa.com,Cloudflare,ns1.vercel-dns.com kirk.ns.cloudflare.com ☓ ns2.vercel-dns.com novalee.ns.cloudflare.com ☓
níkê.com,xn--nk-fjak.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
níkē.com,xn--nk-nja7m.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
persephonē.com,xn--persephon-jhb.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
póntos.com,xn--pntos-0ta.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
poseidōn.com,xn--poseidn-bmb.com,GoDaddy,ns1.vercel-dns.com ns53.domaincontrol.com ☓ ns2.vercel-dns.com ns54.domaincontrol.com ☓
poseidôn.com,xn--poseidn-y0a.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
prajāpati.com,xn--prajpati-k7a.com,GoDaddy,ns1.vercel-dns.com ns51.domaincontrol.com ☓ ns2.vercel-dns.com ns52.domaincontrol.com ☓
promētheus.com,xn--promtheus-ehb.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
rꜥ.com,xn--r-2w3e.com,GoDaddy,ns1.vercel-dns.com ns23.domaincontrol.com ☓ ns2.vercel-dns.com ns24.domaincontrol.com ☓
ḥr.com,xn--r-xnm.com,GoDaddy,ns1.vercel-dns.com ns33.domaincontrol.com ☓ ns2.vercel-dns.com ns34.domaincontrol.com ☓
ragnarǫk.com,xn--ragnark-fnc.com,GoDaddy,ns1.vercel-dns.com ns07.domaincontrol.com ☓ ns2.vercel-dns.com ns08.domaincontrol.com ☓
þórr.com,xn--rr-4ja7b.com,GoDaddy,ns1.vercel-dns.com ns73.domaincontrol.com ☓ ns2.vercel-dns.com ns74.domaincontrol.com ☓
érōs.com,xn--rs-9ia51b.com,GoDaddy,ns1.vercel-dns.com ns23.domaincontrol.com ☓ ns2.vercel-dns.com ns24.domaincontrol.com ☓
árēs.com,xn--rs-lia5r.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
ártemis.com,xn--rtemis-ota.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
sꜥ.com,xn--s-2w3e.com,GoDaddy,ns1.vercel-dns.com ns75.domaincontrol.com ☓ ns2.vercel-dns.com ns76.domaincontrol.com ☓
ōsaka.com,xn--saka-k3a.com,GoDaddy,ns1.vercel-dns.com ns27.domaincontrol.com ☓ ns2.vercel-dns.com ns28.domaincontrol.com ☓
selēnē.com,xn--seln-dvab.com,GoDaddy,ns1.vercel-dns.com ns61.domaincontrol.com ☓ ns2.vercel-dns.com ns62.domaincontrol.com ☓
spártē.com,xn--sprt-6na61a.com,GoDaddy,ns1.vercel-dns.com ns43.domaincontrol.com ☓ ns2.vercel-dns.com ns44.domaincontrol.com ☓
ṛta.com,xn--ta-ezs.com,GoDaddy,ns1.vercel-dns.com ns13.domaincontrol.com ☓ ns2.vercel-dns.com ns14.domaincontrol.com ☓
átlas.com,xn--tlas-4na.com,Cloudflare,ns1.vercel-dns.com jocelyn.ns.cloudflare.com ☓ ns2.vercel-dns.com johnathan.ns.cloudflare.com ☓
tártaros.com,xn--trtaros-hwa.com,GoDaddy,ns1.vercel-dns.com ns67.domaincontrol.com ☓ ns2.vercel-dns.com ns68.domaincontrol.com ☓
typhōn.com,xn--typhn-j9a.com,GoDaddy,ns1.vercel-dns.com ns71.domaincontrol.com ☓ ns2.vercel-dns.com ns72.domaincontrol.com ☓
viṣṇu.com,xn--viu-j5ytg.com,GoDaddy,ns1.vercel-dns.com ns03.domaincontrol.com ☓ ns2.vercel-dns.com ns04.domaincontrol.com ☓
šw.com,xn--w-4ma.com,GoDaddy,ns1.vercel-dns.com ns21.domaincontrol.com ☓ ns2.vercel-dns.com ns22.domaincontrol.com ☓
zeús.com,xn--zes-9na.com,Cloudflare,ns1.vercel-dns.com kirk.ns.cloudflare.com ☓ ns2.vercel-dns.com novalee.ns.cloudflare.com ☓
helheimr.com,helheimr.com,Cloudflare,ns1.vercel-dns.com kai.ns.cloudflare.com ☓ ns2.vercel-dns.com lily.ns.cloudflare.com ☓
muspellheimr.com,muspellheimr.com,Cloudflare,ns1.vercel-dns.com kai.ns.cloudflare.com ☓ ns2.vercel-dns.com lily.ns.cloudflare.com ☓
