"Name","Index","Assets","Logomarks","Mascots","Empty"
"ra","True","True","1","1",""
"radagast","True","False","0","0",""
"ragnarok","True","True","1","0",""
"rama","True","False","0","0",""
"rhea","True","False","0","0",""
"rongo","True","False","0","0",""
"saraswati","True","False","0","0",""
"sarpedon","True","False","0","0",""
"scylla","True","False","0","0",""
"sekhmet","True","False","0","0",""
"selene","True","True","1","1",""
"serket","True","False","0","0",""
"set","True","False","0","0",""
"shamash","True","False","0","0",""
"shango","True","False","0","0",""
"shikoku","True","False","0","0",""
"shiva","True","True","1","1",""
"shu","True","True","1","1",""
"sia","True","True","1","1",""
"sikyon","True","False","0","0",""
"sisyphus","True","False","0","0",""
"sita","True","False","0","0",""
"skadi","True","False","0","0",""
"sobek","True","False","0","0",""
"sparte","True","True","1","0",""
"surtr","True","False","0","0",""
"surya","True","False","0","0",""
"susano","True","False","0","0",""
"suttungr","True","False","0","0",""
"tane","True","False","0","0",""
"tangaroa","True","False","0","0",""
"tantalus","True","False","0","0",""
"tartaros","True","True","1","0",""
"tefnut","True","False","0","0",""
"telamon","True","False","0","0",""
"telemachus","True","False","0","0",""
"tethys","True","False","0","0",""
"tezcatlipoca","True","False","0","0",""
"thebai","True","False","0","0",""
"themis","True","False","0","0",""
"thersites","True","False","0","0",""
"theseus","True","False","0","0",""
"thetis","True","False","0","0",""
"thjazi","True","False","0","0",""
"thor","True","True","1","1",""
"thoth","True","False","0","0",""
"thrake","True","False","0","0",""
"tlaloc","True","False","0","0",""
"tokyo","True","False","0","0",""
"troia","True","False","0","0",""
"tsukuyomi","True","False","0","0",""
"tu","True","False","0","0",""
"typhon","True","False","0","0",""
"tyr","True","False","0","0",""
"valholl","True","False","0","0",""
"varuna","True","False","0","0",""
"veles","True","False","0","0",""
"vidarr","True","False","0","0",""
"viracocha","True","False","0","0",""
"vishnu","True","False","0","0",""
"xipe","True","False","0","0",""
"xochiquetzal","True","False","0","0",""
"yama","True","False","0","0",""
"yemoja","True","False","0","0",""
"ymir","True","False","0","0",""
"zeus","True","True","1","1",""
